Name,Height (ft),Reach (cm),Reach (inches),Stance,Total fights,Wins,Losses,Draws,Date_Birth,Height (cm),No contests,Age,Height
Andy Ruiz Jr.,6 ft 2 in,188,74,Orthodox,38,35,2,1,,,,,
Dillian Whyte,6 ft 4 in,198,78,Orthodox,,1,0,,11 April 1988,,,,
Alan Picasso Romero,5 ft 8 in,178,70,Orthodox,32,31,0,1,,,,,
Gary Antuanne Russell,5 ft 10 in,175,69,Southpaw,19,18,1,,,,,,
Gilberto Ramirez,,191,75,Southpaw,49,48,1,,19 June 1991,189,,,
Bakhram Murtazaliev,6 ft 0 in,183,72,Orthodox,23,23,,,2 January 1993,,,,
Jai Opetaia,6 ft 2 in,193,76,Southpaw,28,28,,,30 June 1995,,,,
Andy Cruz,5 ft 9 in,,,Orthodox,6,6,,,,,,,
Emanuel Navarrete,5 ft 7 in,183,72,Orthodox,43,39,2,1,17 January 1995,,1,,
Artur Beterbiev,,185,73,Orthodox,22,21,1,,21 January 1985,182,,,
Brian Norman Jr.,5 ft 8 in,183,72,Orthodox,30,28,,,,,2,,
Kevin Lerena,6 ft 1 in,,,Southpaw,34,31,3,,5 May 1992,,,,
Sebastian Fundora,6 ft 6 in,203,80,Southpaw,24,22,1,1,,,,,
Tim Tszyu,5 ft 9 in,179,2,Orthodox,27,25,2,,2 November 1994,,,,
Shokichi Iwata,5 ft 4 in,163,64,Orthodox,16,14,2,,2 February 1996,,,,
Erislandy Lara,5 ft 9 in,192,2,Southpaw,37,31,3,3,11 April 1983,,,,
Mario Barrios,6 ft 0 in,178,70,Orthodox,32,29,2,1,,,,,
Murat Gassiev,6 ft 4 in,193,76,Orthodox,34,31,2,,12 October 1993,,1,,
Justis Huni,6 ft 4 in,,,Orthodox,13,12,1,,4 April 1999,,,,
Vergil Ortiz Jr.,5 ft 10 in,178,70,Orthodox,23,23,,,,,,,
Gervonta Davis,5 ft 5 in,171,2,Southpaw,31,30,,1,,,,,
Edgar Berlanga,6 ft 1 in,185,73,Orthodox,25,23,2,,,,,,
Caleb Plant,6 ft 1 in,188,74,Orthodox,26,23,3,,,,,,
Israil Madrimov,,174,2,Orthodox,13,10,2,1,,174,,,
Jermall Charlo,6 ft 0 in,188,74,Orthodox,34,34,,,,,,,
Jarrell Miller,6 ft 4 in,198,78,,,22,2,2,,,,,
Pedro Taduran,5 ft 4 in,164,2,Southpaw,23,18,4,1,,,,,
Dmitry Bivol,6 ft 0 in,183,72,Orthodox,25,24,1,,18 December 1990,,,,
Efe Ajagba,6 ft 5 in,216,85,Orthodox,21,20,1,1,22 April 1994,,,,
Masamichi Yabuki,,164,2,Orthodox,22,18,4,,,166,,,
Alberto Puello,5 ft 9 in,180,71,Southpaw,24,24,1,,22 July 1994,,,,
Liam Paro,,180,71,Southpaw,26,25,1,,16 April 1996,174,,,
Kosei Tanaka,,164,2,Orthodox,22,20,2,,15 June 1995,164,,,
Joshua Buatsi,6 ft 2 in,189,2,Orthodox,20,19,1,,14 March 1993,,,,
Marlon Tapales,5 ft 5 in,171,2,Southpaw,44,40,4,,,,,,
Teofimo Lopez,5 ft 8 in,174,2,Orthodox,23,22,1,,,,,,
Naoya Inoue,5 ft 5 in,171,2,Orthodox,30,30,,,10 April 1993,,,,
Oleksandr Usyk,6 ft 3 in,198,78,Southpaw,23,23,,,17 January 1987,,,,
Agit Kabayel,6 ft 3 in,203,80,Orthodox,26,26,,,23 September 1992,,,,
Phumelele Cafu,5 ft 6 in,163,64,Southpaw,14,11,,3,28 September 1994,,,,
Daniel Dubois,6 ft 5 in,198,78,Orthodox,24,22,2,,6 September 1997,,,,
Norair Mikaeljan,6 ft 3 in,191,75,Orthodox,29,27,3,,18 September 1990,,,,
Jaron Ennis,5 ft 10 in,188,74,Orthodox,35,34,,,,,1,,
Chris Eubank Jr.,5 ft 11 in,184,5,Orthodox,38,34,3,,18 September 1989,,,,
Shakur Stevenson,5 ft 8 in,173,68,Southpaw,24,24,,,,,,,
Richardson Hitchins,5 ft 10 in,188,74,Orthodox,20,20,,,,,,,
Sam Goodman,,,,,,,,,,,,60,
Eimantas Stanionis,5 ft 8 in,173,68,Orthodox,17,15,1,,,,1,,
Kenshiro Teraji,,164,2,Orthodox,26,25,1,,6 January 1992,164,,,
Junto Nakatani,5 ft 8 in,174,2,Southpaw,31,31,,,2 January 1998,,,,
Callum Smith,6 ft 3 in,198,78,Orthodox,33,31,2,,23 April 1990,,,,
Carlos Adames,5 ft 11 in,185,73,Orthodox,26,24,1,1,7 May 1994,,,,
Carlos Cuadras,5 ft 4 in,168,66,Orthodox,48,42,5,1,,,,,
Hamzah Sheeraz,6 ft 3 in,191,75,Orthodox,23,22,,1,25 May 1999,,,,
Anthony Cacace,5 ft 10 in,180,71,Southpaw,24,23,1,,2 February 1989,,,,
Andrew Tabiti,6 ft 1 in,194,2,Orthodox,22,20,2,,,,,,
Kazuto Ioka,,164,2,Orthodox,36,31,4,1,24 March 1989,164,,,
Fabio Wardley,6 ft 5 in,198,78,Orthodox,20,19,0,1,18 December 1994,,,,
Keyshawn Davis,5 ft 9 in,178,70,Orthodox,14,13,,,,,1,,
Joseph Parker,6 ft 4 in,193,76,Orthodox,39,36,3,,9 January 1992,,,,
William Zepeda,5 ft 9 in,177,2,Southpaw,34,33,1,,4 June 1996,,,,
Ryosuke Nishida,5 ft 7 in,173,68,Southpaw,11,10,1,,7 August 1996,,,,
Oscar Collazo,,,,,,,,,,,,80,
David Benavidez,6 ft 2 in,189,2,Orthodox,30,30,,,,,,,
