name,wins,looses,draws,ko_rate,stance,age,height,reach,country,height_m,reach_cm
Saul Alvarez,54,1,2,63.2,Orthodox,32,5.74 ft (1.75 m),70.47 inches (179 cm),Mexico,1.75,179.0
rene alvarado,32,8,0,52.5,Orthodox,33,5.58 ft (1.70 m),72.05 inches (183 cm),Nicaragua,1.7,183.0
daniel alicea,30,7,2,56.4,Orthodox,49,5.68 ft (1.73 m),70.08 inches (178 cm),Puerto Rico,1.73,178.0
sadam ali,27,3,0,46.7,Orthodox,33,5.74 ft (1.75 m),72.83 inches (185 cm),United States,1.75,185.0
muhammad ali,56,5,0,60.7,Orthodox,80,6.27 ft (1.91 m),77.95 inches (198 cm),United States,1.91,198.0
juan zurita,130,23,1,29.9,Orthodox,105,5.41 ft (1.65 m),66.14 inches (168 cm),Mexico,1.65,168.0
fritzie zivic,158,65,10,35.2,Orthodox,109,5.84 ft (1.78 m),70.87 inches (180 cm),United States,1.78,180.0
rudy zavala,25,8,2,60.0,Orthodox,53,5.58 ft (1.70 m),68.11 inches (173 cm),United States,1.7,173.0
carlos zarate,66,4,0,90.0,Orthodox,71,5.68 ft (1.73 m),66.93 inches (170 cm),Mexico,1.73,170.0
tony zale,67,18,2,51.7,Orthodox,108,5.61 ft (1.71 m),68.90 inches (175 cm),United States,1.71,175.0
daud cino yordan,40,4,0,62.2,Orthodox,35,5.58 ft (1.70 m),68.11 inches (173 cm),Indonesia,1.7,173.0
teddy yarosz,107,18,3,13.3,Orthodox,112,5.84 ft (1.78 m),72.44 inches (184 cm),United States,1.78,184.0
ronald wright,51,6,1,43.1,Southpaw,50,5.87 ft (1.79 m),72.05 inches (183 cm),United States,1.79,183.0
chalky wright,162,45,19,36.2,Orthodox,110,5.54 ft (1.69 m),68.90 inches (175 cm),United States,1.69,175.0
pongsaklek wonjongkam,89,5,2,47.9,Southpaw,45,5.31 ft (1.62 m),63.39 inches (161 cm),Thailand,1.62,161.0
krzysztof wlodarczyk,58,4,1,61.9,Orthodox,40,6.10 ft (1.86 m),75.20 inches (191 cm),Poland,1.86,191.0
jackie wilson,101,45,8,12.9,Orthodox,113,5.41 ft (1.65 m),64.96 inches (165 cm),United States,1.65,165.0
california jackie wilson,63,19,6,42.7,Orthodox,104,5.87 ft (1.79 m),75.98 inches (193 cm),United States,1.79,193.0
darroll wilson,27,10,2,53.8,Orthodox,56,6.00 ft (1.83 m),79.13 inches (201 cm),United States,1.83,201.0
mark wills,14,18,1,27.3,Orthodox,62,6.07 ft (1.85 m),74.02 inches (188 cm),United States,1.85,188.0
roderick willis,14,7,1,36.4,Orthodox,49,6.50 ft (1.98 m),81.89 inches (208 cm),United States,1.98,208.0
julian williams,27,2,1,51.6,Orthodox,32,5.84 ft (1.78 m),72.44 inches (184 cm),United States,1.78,184.0
holman williams,145,30,11,18.7,Orthodox,107,5.87 ft (1.79 m),70.87 inches (180 cm),United States,1.79,180.0
ike williams,128,24,5,38.9,Orthodox,99,5.74 ft (1.75 m),68.11 inches (173 cm),United States,1.75,173.0
cleveland williams,78,13,1,63.0,Orthodox,89,6.27 ft (1.91 m),79.92 inches (203 cm),United States,1.91,203.0
paul williams,41,2,0,62.8,Southpaw,41,6.07 ft (1.85 m),79.13 inches (201 cm),United States,1.85,201.0
tramaine williams,19,0,0,30.0,Southpaw,29,5.35 ft (1.63 m),68.11 inches (173 cm),United States,1.63,173.0
sherman williams,39,15,2,36.8,Orthodox,49,5.91 ft (1.80 m),75.98 inches (193 cm),Bahamas,1.8,193.0
deontay wilder,42,1,1,93.2,Orthodox,36,6.56 ft (2.00 m),83.07 inches (211 cm),United States,2.0,211.0
jimmy wilde,139,4,5,66.4,Orthodox,130,5.22 ft (1.59 m),66.14 inches (168 cm),United Kingdom,1.59,168.0
pernell whitaker,40,4,1,37.0,Southpaw,58,5.51 ft (1.68 m),68.90 inches (175 cm),United States,1.68,175.0
richie wenton,24,6,0,33.3,Orthodox,54,5.68 ft (1.73 m),70.08 inches (178 cm),United Kingdom,1.73,178.0
scott welch,22,4,0,65.4,Orthodox,54,6.17 ft (1.88 m),75.20 inches (191 cm),United Kingdom,1.88,191.0
gerald washington,20,4,1,52.0,Orthodox,40,6.50 ft (1.98 m),81.89 inches (208 cm),United States,1.98,208.0
rau'shee warren,17,3,0,18.2,Unknown,35,5.38 ft (1.64 m),64.57 inches (164 cm),United States,1.64,164.0
andre ward,32,0,0,50.0,Orthodox,38,6.00 ft (1.83 m),70.87 inches (180 cm),United States,1.83,180.0
micky ward,38,13,0,52.9,Orthodox,56,5.68 ft (1.73 m),70.08 inches (178 cm),United States,1.73,178.0
otto wallin,20,1,0,56.5,Southpaw,31,6.46 ft (1.97 m),77.95 inches (198 cm),Sweden,1.97,198.0
anaclet wamba,46,2,1,46.9,Orthodox,62,6.23 ft (1.90 m),75.98 inches (193 cm),France,1.9,193.0
nicholas walters,26,1,1,72.4,Orthodox,36,5.58 ft (1.70 m),72.83 inches (185 cm),Jamaica,1.7,185.0
jersey joe walcott,51,18,2,45.1,Orthodox,108,6.00 ft (1.83 m),74.02 inches (188 cm),United States,1.83,188.0
mickey walker,131,26,5,36.6,Orthodox,121,5.58 ft (1.70 m),66.93 inches (170 cm),United States,1.7,170.0
mariusz wach,34,6,0,43.9,Orthodox,42,6.63 ft (2.02 m),81.89 inches (208 cm),Poland,2.02,208.0
rose volante,14,1,0,50.0,Orthodox,34,5.45 ft (1.66 m),67.32 inches (171 cm),Brazil,1.66,171.0
brian viloria,36,6,0,50.0,Orthodox,41,5.35 ft (1.63 m),66.14 inches (168 cm),United States,1.63,168.0
felix verdejo,27,1,0,60.7,Orthodox,29,5.74 ft (1.75 m),72.05 inches (183 cm),Puerto Rico,1.75,183.0
jose velasquez,27,6,2,51.4,Orthodox,32,5.22 ft (1.59 m),64.17 inches (163 cm),Chile,1.59,163.0
david vedder,23,25,5,5.7,Orthodox,58,6.07 ft (1.85 m),75.98 inches (193 cm),United States,1.85,193.0
jessie vargas,29,3,2,32.4,Orthodox,33,5.84 ft (1.78 m),70.87 inches (180 cm),United States,1.78,180.0
francisco vargas,26,2,2,60.0,Orthodox,37,5.68 ft (1.73 m),70.08 inches (178 cm),Mexico,1.73,178.0
fernando vargas,26,5,0,71.0,Orthodox,44,5.84 ft (1.78 m),70.08 inches (178 cm),United States,1.78,178.0
nikolay valuev,50,2,0,64.2,Orthodox,49,6.99 ft (2.13 m),85.04 inches (216 cm),Russian Federation,2.13,216.0
matt vanda,45,16,0,41.0,Orthodox,43,5.84 ft (1.78 m),70.08 inches (178 cm),United States,1.78,178.0
oscar valdez,28,1,0,67.7,Orthodox,31,5.45 ft (1.66 m),66.14 inches (168 cm),Mexico,1.66,168.0
rodrigo valdes,64,8,2,58.1,Orthodox,75,5.81 ft (1.77 m),68.90 inches (175 cm),Colombia,1.77,175.0
yordenis ugas,25,4,0,41.4,Orthodox,36,5.74 ft (1.75 m),68.90 inches (175 cm),Cuba,1.75,175.0
mike tyson,50,6,0,74.6,Orthodox,56,5.84 ft (1.78 m),70.87 inches (180 cm),United States,1.78,180.0
randolph turpin,66,8,1,60.0,Orthodox,94,5.81 ft (1.77 m),74.41 inches (189 cm),United Kingdom,1.77,189.0
gene tunney,79,1,4,56.5,Orthodox,125,6.00 ft (1.83 m),75.98 inches (193 cm),United States,1.83,193.0
david tua,52,5,2,72.9,Orthodox,49,5.84 ft (1.78 m),70.08 inches (178 cm),New Zealand,1.78,178.0
tony tubbs,48,9,0,44.1,Orthodox,64,6.23 ft (1.90 m),79.13 inches (201 cm),United States,1.9,201.0
kostya tszyu,31,2,0,73.5,Orthodox,52,5.58 ft (1.70 m),66.93 inches (170 cm),Australia,1.7,170.0
rex tso,15,0,0,56.3,Southpaw,35,5.58 ft (1.70 m),69.69 inches (177 cm),Hong Kong,1.7,177.0
