Name,Age,Weight,Height,Reach,Stance,Total_fights,Wins,Losses,Draws,No_contests
Kubrat Pulev,44,Heavyweight,1.94 m (6 ft 4 + 1 ⁄ 2 in) [ 1 ],202 cm ( 79 + 1 ⁄ 2 in) [ 1 ],Orthodox,35,32,3,0,0
Alberto Puello,30,Light welterweight,5 ft 9 in (175 cm),71 in (180 cm),Southpaw,24,24,,,
Christian Mbilli,30,Super Middleweight,5 ft 8 + 1 ⁄ 2 in (174 cm),,Orthodox,29,29,,,
Vergil Ortiz Jr.,27,"Light welterweight, Welterweight, Light middleweight",5 ft 10 in (178 cm) [ 1 ],70 in (178 cm) [ 1 ],Orthodox,23,23,,,
Joseph Parker,33,Heavyweight,6 ft 4 in (193 cm) [ 1 ],76 in (193 cm) [ 1 ],Orthodox,39,36,3,,
William Zepeda,29,Lightweight,5 ft 9 in (175 cm),69 + 1 ⁄ 2 in (177 cm),Southpaw,33,33,,,
Anthony Cacace,36,Super featherweight,5 ft 10 in (178 cm) [ 1 ],71 in (180 cm) [ 1 ],Southpaw,24,23,1,,
Pedro Taduran,28,Mini flyweight,5 ft 4 in (163 cm),64 + 1 ⁄ 2 in (164 cm),Southpaw,23,18,4,1,
Phumelele Cafu,30,"Flyweight, Super flyweight",5 ft 6 in (168 cm),64 in (163 cm),Southpaw,14,11,,3,
Kosei Tanaka,30,"Mini-flyweight, Light-flyweight, Flyweight, Super-flyweight",5 ft 4 + 1 ⁄ 2 in (164 cm),64 + 1 ⁄ 2 in (164 cm),Orthodox,22,20,2,,
Eimantas Stanionis,30,Welterweight Light-middleweight,5 ft 8 in (173 cm),68 in (173 cm),Orthodox,17,15,1,,1
Murat Gassiev,31,Cruiserweight Heavyweight,1.92 m (6 ft 4 in) [ 1 ],193 cm (76 in),Orthodox,34,31,2,,1
Edgar Berlanga,28,"Middleweight, Super middleweight",6 ft 1 in (185 cm) [ 1 ],73 in (185 cm) [ 1 ],Orthodox,24,23,1,,
Marlon Tapales,33,"Light flyweight, Flyweight, Super flyweight, Bantamweight, Super bantamweight, Featherweight, Super featherweight",5 ft 5 in (165 cm),67 + 1 ⁄ 2 in (171 cm),Southpaw,44,40,4,,
Callum Smith,35,"Super-middleweight, Light-heavyweight",6 ft 3 in (191 cm) [ 1 ],78 in (198 cm) [ 1 ],Orthodox,33,31,2,,
Keyshawn Davis,26,Lightweight,5 ft 9 in (175 cm),70 in (178 cm),Orthodox,14,13,,,1
Sandor Martín,31,Light-welterweight,171 cm (5 ft 7 in) [ 1 ],175 cm (69 in) [ 1 ],Southpaw,46,42,4,,
David Benavidez,28,"Super middleweight, Light heavyweight",6 ft 2 in (188 cm),74 + 1 ⁄ 2 in (189 cm) [ 1 ],Orthodox,30,30,,,
Gilberto Ramirez,34,"Middleweight, Super middleweight, Light heavyweight, Cruiserweight",6 ft 2 + 1 ⁄ 2 in (189 cm) [ 1 ],75 in (191 cm) [ 1 ],Southpaw,49,48,1,,
Tim Tszyu,30,Light-middleweight,5 ft 9 in (175 cm) [ 1 ],70 + 1 ⁄ 2 in (179 cm) [ 1 ],Orthodox,27,25,2,,
Shokichi Iwata,29,Light flyweight,5 ft 4 in (163 cm),64 in (163 cm),Orthodox,16,14,2,,
Kenshiro Teraji,33,"Light flyweight, Flyweight",5 ft 4 + 1 ⁄ 2 in (164 cm),64 + 1 ⁄ 2 in (164 cm),Orthodox,26,25,1,,
Seigo Yuri Akui,29,"Light flyweight, Flyweight",5 ft 4 in (163 cm),,Orthodox,25,21,3,1,
Ryosuke Nishida,28,Bantamweight,5 ft 7 in (170 cm),68 in (173 cm),Southpaw,11,10,1,,
Brian Norman Jr.,24,Welterweight,5 ft 8 in (173 cm) [ 1 ],72 in (183 cm) [ 1 ],Orthodox,30,28,,,2
Liam Paro,29,Light welterweight,5 ft 8 + 1 ⁄ 2 in (174 cm),71 in (180 cm),Southpaw,26,25,1,,
Badou Jack,41,"Super-middleweight, Light-heavyweight, Cruiserweight",6 ft 1 in (185 cm),73 in (185 cm),,35,29,3,3,
Elwin Soto,28,"Light flyweight, Flyweight",5 ft 3 in (160 cm),,Orthodox,24,21,3,,
Gary Antuanne Russell,29,Light welterweight,5 ft 10 in (178 cm),69 in (175 cm),Southpaw,19,18,1,,
Devin Haney,26,"Lightweight, Light welterweight, Welterweight",5 ft 8 in (173 cm) [ 1 ],72 in (183 cm) [ 1 ],Orthodox,33,32,0,,1
Caleb Plant,32,Super middleweight,6 ft 1 in (185 cm),74 in (188 cm),Orthodox,27,23,3,,
Naoya Inoue,32,"Light flyweight, Super flyweight, Bantamweight, Super bantamweight",5 ft 5 in (165 cm) [ 1 ],67 + 1 ⁄ 2 in (171 cm) [ 1 ],Orthodox,30,30,,,
Janibek Alimkhanuly,32,75 kg (165 lb),182 cm (6 ft 0 in),71 + 1 ⁄ 2 in (182 cm),Southpaw,17,17,,,
Norair Mikaeljan,34,Cruiserweight,1.90 m (6 ft 3 in),191 cm (75 in),Orthodox,29,27,3,,
Hamzah Sheeraz,26,"Light middleweight, Middleweight, Super middleweight",6 ft 3 in (191 cm),75 in (191 cm),Orthodox,22,21,,1,
Richardson Hitchins,27,Light welterweight,5 ft 10 in (178 cm),74 in (188 cm),Orthodox,20,20,,,
Oleksandr Usyk,38,"Cruiserweight, Heavyweight",1.91 m (6 ft 3 in) [ 1 ],198 cm (78 in) [ 1 ],Southpaw,23,23,,,
Andrew Tabiti,35,Cruiserweight Heavyweight,6 ft 1 in (185 cm),76 + 1 ⁄ 2 in (194 cm),Orthodox,22,20,2,,
Murodjon Akhmadaliev,30,"Super bantamweight, Featherweight, Super featherweight",5 ft 5 + 1 ⁄ 2 in (166 cm),68 in (173 cm),Southpaw,15,14,1,0,
Mario Barrios,30,"Light welterweight, Welterweight",5 ft 9 + 1 ⁄ 2 in (177 cm),70 in (178 cm),Orthodox,32,29,2,1,
Bakhram Murtazaliev,32,Light middleweight,6 ft 0 in (183 cm),72 in (183 cm),Orthodox,23,23,,,
Terence Crawford,37,"Lightweight, Light welterweight, Welterweight, Light middleweight",5 ft 8 in (173 cm) [ 1 ],74 in (188 cm) [ 1 ],Southpaw [ a ],41,41,,,
Teofimo Lopez,27,"Lightweight, Light welterweight",5 ft 8 in (173 cm) [ 1 ],68 + 1 ⁄ 2 in (174 cm) [ 1 ],Orthodox,23,22,1,,
Daniel Dubois,27,Heavyweight,6 ft 5 in (196 cm) [ 1 ],78 in (198 cm) [ 1 ],Orthodox,24,22,2,,
Kazuto Ioka,36,"Mini flyweight, Light flyweight, Flyweight, Super flyweight",5 ft 4 + 1 ⁄ 2 in (164 cm),64 + 1 ⁄ 2 in (164 cm),Orthodox,36,31,4,1,
Moses Itauma,20,Heavyweight,1.94 m (6 ft 4 + 1 ⁄ 2 in),79”,Southpaw,12,12,,,
Dillian Whyte,37,,6 ft 4 in (193 cm) [ 4 ],78 in (198 cm) [ 4 ],Orthodox,,1,0,,
Canelo Álvarez,34,"Welterweight, Light middleweight, Middleweight, Super middleweight, Light heavyweight",5 ft 7 + 1 ⁄ 2 in (171 cm) [ 1 ],70 + 1 ⁄ 2 in (179 cm) [ 1 ],Orthodox,67,63,2,2,
Efe Ajagba,31,Heavyweight,1.98 m (6 ft 6 in),85 in (216 cm),Orthodox,21,20,1,1,
Dmitry Bivol,34,Light-heavyweight,6 ft 0 in (183 cm) [ 1 ],72 in (183 cm) [ 1 ],Orthodox,25,24,1,,
Jai Opetaia,30,"Cruiserweight, Heavyweight",6 ft 2 in (188 cm),76 in (193 cm),Southpaw,28,28,,,
